Year_Month,Donor_Segment,Party,Total_Donation
2021-01,Large,DEM,1935
2021-01,Medium,DEM,518
2021-01,Small,DEM,368
2021-02,Large,DEM,70
2021-02,Medium,DEM,48
2021-02,Small,DEM,8
2021-03,Large,DEM,50
2021-03,Medium,DEM,48
2021-03,Small,DEM,8
2021-04,Large,DEM,710
2021-04,Large,REP,8700
2021-04,Medium,DEM,165
2021-04,Medium,REP,5800
2021-04,Small,DEM,41
2021-05,Large,DEM,555
2021-05,Medium,DEM,73
2021-05,Small,DEM,70
2021-06,Large,DEM,55
2021-06,Medium,DEM,48
2021-06,Small,DEM,8
2021-07,Large,DEM,55
2021-07,Medium,DEM,48
2021-07,Small,DEM,8
2021-08,Large,DEM,55
2021-08,Medium,DEM,48
2021-08,Small,DEM,8
2021-09,Large,DEM,55
2021-09,Medium,DEM,80
2021-09,Small,DEM,8
2021-10,Large,DEM,55
2021-10,Medium,DEM,80
2021-10,Small,DEM,8
2021-11,Large,DEM,55
2021-11,Medium,DEM,80
2021-11,Small,DEM,8
2021-12,Large,DEM,1055
2021-12,Medium,DEM,80
2021-12,Small,DEM,8
2022-01,Large,DEM,55
2022-01,Large,REP,100
2022-01,Medium,DEM,80
2022-01,Small,DEM,88
2022-02,Large,DEM,105
2022-02,Medium,DEM,80
2022-02,Small,DEM,8
2022-03,Large,DEM,55
2022-03,Large,REP,12900
2022-03,Medium,DEM,80
2022-03,Small,DEM,8
2022-04,Large,DEM,277
2022-04,Medium,DEM,125
2022-04,Small,DEM,68
2022-05,Large,DEM,55
2022-05,Large,REP,313
2022-05,Medium,DEM,80
2022-05,Medium,REP,365
2022-05,Small,DEM,38
2022-05,Small,REP,333
2022-06,Large,DEM,805
2022-06,Medium,DEM,80
2022-06,Small,DEM,35
2022-07,Large,DEM,5
2022-07,Medium,DEM,80
2022-07,Small,DEM,8
2022-08,Large,DEM,2905
2022-08,Large,REP,9700
2022-08,Medium,DEM,48
2022-08,Small,DEM,8
2022-09,Large,DEM,5
2022-09,Medium,DEM,16
2022-09,Small,DEM,8
2022-09,Small,REP,1500
2022-10,Large,DEM,9355
2022-10,Large,REP,5600
2022-10,Medium,DEM,16
2022-10,Small,DEM,8
2022-11,Large,DEM,6800
2022-11,Large,REP,7197
2022-11,Medium,DEM,316
2022-11,Medium,REP,5612
2022-11,Small,DEM,2908
2022-11,Small,REP,8573
2022-12,Large,DEM,35838
2022-12,Large,REP,8237
2022-12,Medium,DEM,6002
2022-12,Medium,REP,8467
2022-12,Small,DEM,3832
2022-12,Small,REP,4382
2023-01,Large,DEM,1539683
2023-01,Large,REP,398646
2023-01,Medium,DEM,333013
2023-01,Medium,REP,209755
2023-01,Small,DEM,184762
2023-01,Small,REP,145903
2023-02,Large,DEM,2495391
2023-02,Large,REP,832890
2023-02,Medium,DEM,507844
2023-02,Medium,REP,260115
2023-02,Small,DEM,277981
2023-02,Small,REP,418078
2023-03,Large,DEM,5742429
2023-03,Large,REP,2036736
2023-03,Medium,DEM,1092210
2023-03,Medium,REP,509148
2023-03,Small,DEM,497311
2023-03,Small,REP,386362
2023-04,Large,DEM,2840845
2023-04,Large,REP,2038375
2023-04,Medium,DEM,747322
2023-04,Medium,REP,520748
2023-04,Small,DEM,350917
2023-04,Small,REP,278560
2023-05,Large,DEM,3895858
2023-05,Large,REP,2069288
2023-05,Medium,DEM,828206
2023-05,Medium,REP,761604
2023-05,Small,DEM,515579
2023-05,Small,REP,430418
2023-06,Large,DEM,6106123
2023-06,Large,REP,2747603
2023-06,Medium,DEM,1293463
2023-06,Medium,REP,931781
2023-06,Small,DEM,626234
2023-06,Small,REP,800761
2023-07,Large,DEM,3236426
2023-07,Large,REP,1762408
2023-07,Medium,DEM,856236
2023-07,Medium,REP,554155
2023-07,Small,DEM,472954
2023-07,Small,REP,403007
2023-08,Large,DEM,3283947
2023-08,Large,REP,2165276
2023-08,Medium,DEM,874662
2023-08,Medium,REP,721826
2023-08,Small,DEM,453576
2023-08,Small,REP,552954
2023-09,Large,DEM,5668342
2023-09,Large,REP,3298695
2023-09,Medium,DEM,1392581
2023-09,Medium,REP,824426
2023-09,Small,DEM,720053
2023-09,Small,REP,601732
2023-10,Large,DEM,3958373
2023-10,Large,REP,2350327
2023-10,Medium,DEM,1124710
2023-10,Medium,REP,746311
2023-10,Small,DEM,615749
2023-10,Small,REP,562642
2023-11,Large,DEM,5734239
2023-11,Large,REP,3663219
2023-11,Medium,DEM,1741202
2023-11,Medium,REP,855588
2023-11,Small,DEM,669717
2023-11,Small,REP,630249
2023-12,Large,DEM,9120338
2023-12,Large,REP,4223670
2023-12,Medium,DEM,1751907
2023-12,Medium,REP,975295
2023-12,Small,DEM,938187
2023-12,Small,REP,653775
2024-01,Large,DEM,6922963
2024-01,Large,REP,3156204
2024-01,Medium,DEM,1586887
2024-01,Medium,REP,726494
2024-01,Small,DEM,892439
2024-01,Small,REP,618340
2024-02,Large,DEM,8823171
2024-02,Large,REP,4048037
2024-02,Medium,DEM,2089133
2024-02,Medium,REP,995977
2024-02,Small,DEM,1063466
2024-02,Small,REP,628477
2024-03,Large,DEM,13693518
2024-03,Large,REP,5555122
2024-03,Medium,DEM,3317566
2024-03,Medium,REP,1048252
2024-03,Small,DEM,1646231
2024-03,Small,REP,649185
2024-04,Large,DEM,9286441
2024-04,Large,REP,3196745
2024-04,Medium,DEM,2272360
2024-04,Medium,REP,862163
2024-04,Small,DEM,1284680
2024-04,Small,REP,686985
2024-05,Large,DEM,10310768
2024-05,Large,REP,4015432
2024-05,Medium,DEM,2916032
2024-05,Medium,REP,946343
2024-05,Small,DEM,1473544
2024-05,Small,REP,624232
2024-06,Large,DEM,16731550
2024-06,Large,REP,4880321
2024-06,Medium,DEM,4555735
2024-06,Medium,REP,1233589
2024-06,Small,DEM,2197232
2024-06,Small,REP,834103
2024-07,Large,DEM,20578320
2024-07,Large,REP,4749801
2024-07,Medium,DEM,8305078
2024-07,Medium,REP,1452011
2024-07,Small,DEM,3987301
2024-07,Small,REP,769836
2024-08,Large,DEM,24412536
2024-08,Large,REP,5358177
2024-08,Medium,DEM,8754783
2024-08,Medium,REP,1680233
2024-08,Small,DEM,4310706
2024-08,Small,REP,1031588
2024-09,Large,DEM,31958042
2024-09,Large,REP,7610203
2024-09,Medium,DEM,11223708
2024-09,Medium,REP,2505740
2024-09,Small,DEM,5332159
2024-09,Small,REP,1458693
2024-10,Large,DEM,30750734
2024-10,Large,REP,9804247
2024-10,Medium,DEM,13802684
2024-10,Medium,REP,3876058
2024-10,Small,DEM,7640053
2024-10,Small,REP,2151855
2024-11,Large,DEM,4642629
2024-11,Large,REP,2842265
2024-11,Medium,DEM,2179381
2024-11,Medium,REP,1253911
2024-11,Small,DEM,1262189
2024-11,Small,REP,934381
2024-12,Large,DEM,962407
2024-12,Large,REP,814985
2024-12,Medium,DEM,387493
2024-12,Medium,REP,272128
2024-12,Small,DEM,180910
2024-12,Small,REP,234450
2025-01,Large,DEM,983664
2025-01,Large,REP,757916
2025-01,Medium,DEM,290106
2025-01,Medium,REP,277484
2025-01,Small,DEM,155420
2025-01,Small,REP,203992
2025-02,Large,DEM,2148357
2025-02,Large,REP,1058687
2025-02,Medium,DEM,716108
2025-02,Medium,REP,299394
2025-02,Small,DEM,243648
2025-02,Small,REP,292504
2025-03,Large,DEM,5300392
2025-03,Large,REP,2832252
2025-03,Medium,DEM,1373216
2025-03,Medium,REP,558730
2025-03,Small,DEM,674701
2025-03,Small,REP,361500
2025-04,Large,DEM,2380060
2025-04,Large,REP,1949507
2025-04,Medium,DEM,681256
2025-04,Medium,REP,429748
2025-04,Small,DEM,326404
2025-04,Small,REP,282066
2025-05,Large,DEM,3067722
2025-05,Large,REP,979874
2025-05,Medium,DEM,759067
2025-05,Medium,REP,339592
2025-05,Small,DEM,373406
2025-05,Small,REP,333101
2025-06,Large,DEM,5379425
2025-06,Large,REP,2424172
2025-06,Medium,DEM,1137007
2025-06,Medium,REP,504016
2025-06,Small,DEM,626474
2025-06,Small,REP,427464
2025-07,Large,DEM,32305
2025-07,Large,REP,152545
2025-07,Medium,DEM,6666
2025-07,Medium,REP,42610
2025-07,Small,DEM,3362
2025-07,Small,REP,42113
2025-08,Large,DEM,16792
2025-08,Large,REP,120797
2025-08,Medium,DEM,3425
2025-08,Medium,REP,35921
2025-08,Small,DEM,2732
2025-08,Small,REP,42527
2025-09,Large,DEM,7952
2025-09,Large,REP,2500
2025-09,Medium,DEM,4925
2025-09,Medium,REP,8250
2025-09,Small,DEM,3350
2025-09,Small,REP,3800
